Quantify Compound Summary Report ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Printed Tue Aug 07 11:35:48 2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 1:  PFBA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Standard Concentration,RT,Area,IS Area,IS RT,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
21,JR_080218_78,20,Standard,20,,,3196.947,,,,,,,
22,JR_080218_79,20,Standard,20,,,2877.08,,,,,,,
23,JR_080218_80,50,Standard,50,,,2605.7,,,,,,,
24,JR_080218_81,100,Standard,100,,,2171.916,,,,,,,
,,,,,,,,,,,,,,
Compound 57:  4:4 PFPi*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,2005.64,,,,,,,
2,JR_080218_07,50,Standard,50,,,2458.625,,,,,,,
3,JR_080218_08,100,Standard,100,,,2113.074,,,,,,,
4,JR_080218_09,250,Standard,250,,,2074.303,,,,,,,
5,JR_080218_10,500,Standard,500,,,1960.873,,,,,,,
6,JR_080218_11,be,Recovery,500,,,2498.133,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,2000.673,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,2415.076,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1220.804,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,837.424,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,857.036,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,51.433,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,81.544,,,,,,,
14,JR_080218_67,NG EDTA,,,,,631.095,,,,,,,
15,JR_080218_68,NG PBS,,,,,582.75,,,,,,,
16,JR_080218_69,NG ???,,,,,826.014,,,,,,,
17,JR_080218_70,sblnk,,,,,3415.886,,,,,,,
18,JR_080218_71,50,,,,,3585.795,,,,,,,
19,JR_080218_72,100,,,,,2773.436,,,,,,,
20,JR_080218_77,sblnk,,,,,3250.841,,,,,,,
21,JR_080218_78,20,Standard,20,,,3249.427,,,,,,,
22,JR_080218_79,20,Standard,20,,,3115.15,,,,,,,
23,JR_080218_80,50,Standard,50,,,2772,,,,,,,
24,JR_080218_81,100,Standard,100,,,2404.261,,,,,,,
,,,,,,,,,,,,,,
Compound 58:  4:6 PFPi*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,2005.64,,,,,,,
2,JR_080218_07,50,Standard,50,,,2458.625,,,,,,,
3,JR_080218_08,100,Standard,100,,,2113.074,,,,,,,
4,JR_080218_09,250,Standard,250,,,2074.303,,,,,,,
5,JR_080218_10,500,Standard,500,,,1960.873,,,,,,,
6,JR_080218_11,be,Recovery,500,,,2498.133,,,,,,,
7,JR_080218_12,2000,Standard,2000,19.16,31.329,2000.673,,0.016,bb,0.1,-100,0,6.502
8,JR_080218_13,10000,Standard,10000,19.16,158.509,2415.076,,0.066,bb,2,-100,0,0
9,JR_080218_62,NG pblnk,,,,,1220.804,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,837.424,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,857.036,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,51.433,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,81.544,,,,,,,
14,JR_080218_67,NG EDTA,,,,,631.095,,,,,,,
15,JR_080218_68,NG PBS,,,,,582.75,,,,,,,
16,JR_080218_69,NG ???,,,,,826.014,,,,,,,
17,JR_080218_70,sblnk,,,,,3415.886,,,,,,,
18,JR_080218_71,50,,,,,3585.795,,,,,,,
19,JR_080218_72,100,,,,,2773.436,,,,,,,
20,JR_080218_77,sblnk,,,,,3250.841,,,,,,,
21,JR_080218_78,20,Standard,20,,,3249.427,,,,,,,
22,JR_080218_79,20,Standard,20,,,3115.15,,,,,,,
23,JR_080218_80,50,Standard,50,,,2772,,,,,,,
24,JR_080218_81,100,Standard,100,,,2404.261,,,,,,,
,,,,,,,,,,,,,,
Compound 59:  6:6 PFPi,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,19.366,22.36,1164.577,2005.64,,0.581,bb,22,13.5,113.5,284.955
2,JR_080218_07,50,Standard,48.415,,,2458.625,,,,,,,
3,JR_080218_08,100,Standard,96.83,22.39,6765.806,2113.074,,3.202,bb,123.5,27.5,127.5,534.27
4,JR_080218_09,250,Standard,242.075,22.35,16579.641,2074.303,,7.993,bb,309,27.6,127.6,4595.371
5,JR_080218_10,500,Standard,484.15,22.49,38495.25,1960.873,,19.632,bb,759.7,56.9,156.9,2343.046
6,JR_080218_11,be,Recovery,484.15,,,2498.133,,,,,,,
7,JR_080218_12,2000,Standard,1936.6,22.42,124328.383,2000.673,,62.143,bb,2405.9,24.2,124.2,2595.507
8,JR_080218_13,10000,Standard,9683,22.4,555284.563,2415.076,,229.924,bb,8902.9,-8.1,91.9,34756.599
9,JR_080218_62,NG pblnk,,,,,1220.804,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,837.424,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,857.036,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,51.433,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,81.544,,,,,,,
14,JR_080218_67,NG EDTA,,,,,631.095,,,,,,,
15,JR_080218_68,NG PBS,,,,,582.75,,,,,,,
16,JR_080218_69,NG ???,,,,,826.014,,,,,,,
17,JR_080218_70,sblnk,,,,,3415.886,,,,,,,
18,JR_080218_71,50,,,22.24,3935.738,3585.795,,1.098,bb,42,,,858.639
19,JR_080218_72,100,,,22.27,4642.432,2773.436,,1.674,bb,64.3,,,2085.683
20,JR_080218_77,sblnk,,,,,3250.841,,,,,,,
21,JR_080218_78,20,Standard,19.366,22.27,1225.946,3249.427,,0.377,bb,14.1,-27.2,72.8,5864.177
22,JR_080218_79,20,Standard,19.366,22.27,850.71,3115.15,,0.273,bb,10.1,-48,52,49.523
23,JR_080218_80,50,Standard,48.415,22.3,2206.178,2772,,0.796,bb,30.3,-37.4,62.6,807.15
24,JR_080218_81,100,Standard,96.83,22.27,4292.633,2404.261,,1.785,bb,68.6,-29.1,70.9,128.071
,,,,,,,,,,,,,,
Compound 60:  6:8 PFPi*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,19.442,,,2005.64,,,,,,,
2,JR_080218_07,50,Standard,48.605,,,2458.625,,,,,,,
3,JR_080218_08,100,Standard,97.21,,,2113.074,,,,,,,
4,JR_080218_09,250,Standard,243.025,,,2074.303,,,,,,,
5,JR_080218_10,500,Standard,486.05,,,1960.873,,,,,,,
6,JR_080218_11,be,Recovery,486.05,,,2498.133,,,,,,,
7,JR_080218_12,2000,Standard,1944.2,,,2000.673,,,,,,,
8,JR_080218_13,10000,Standard,9721,25.24,30.385,2415.076,,0.013,bbI,,-100,0,3.375
9,JR_080218_62,NG pblnk,,,,,1220.804,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,837.424,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,857.036,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,51.433,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,81.544,,,,,,,
14,JR_080218_67,NG EDTA,,,,,631.095,,,,,,,
15,JR_080218_68,NG PBS,,,,,582.75,,,,,,,
16,JR_080218_69,NG ???,,,,,826.014,,,,,,,
17,JR_080218_70,sblnk,,,,,3415.886,,,,,,,
18,JR_080218_71,50,,,,,3585.795,,,,,,,
19,JR_080218_72,100,,,,,2773.436,,,,,,,
20,JR_080218_77,sblnk,,,,,3250.841,,,,,,,
21,JR_080218_78,20,Standard,19.442,,,3249.427,,,,,,,
22,JR_080218_79,20,Standard,19.442,,,3115.15,,,,,,,
23,JR_080218_80,50,Standard,48.605,,,2772,,,,,,,
24,JR_080218_81,100,Standard,97.21,,,2404.261,,,,,,,
,,,,,,,,,,,,,,
Compound 61:  8:8 PFPi,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,19.502,,,2005.64,,,,,,,
2,JR_080218_07,50,Standard,48.755,,,2458.625,,,,,,,
3,JR_080218_08,100,Standard,97.51,,,2113.074,,,,,,,
4,JR_080218_09,250,Standard,243.775,,,2074.303,,,,,,,
5,JR_080218_10,500,Standard,487.55,,,1960.873,,,,,,,
6,JR_080218_11,be,Recovery,487.55,,,2498.133,,,,,,,
7,JR_080218_12,2000,Standard,1950.2,,,2000.673,,,,,,,
8,JR_080218_13,10000,Standard,9751,,,2415.076,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1220.804,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,837.424,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,857.036,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,51.433,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,81.544,,,,,,,
14,JR_080218_67,NG EDTA,,,,,631.095,,,,,,,
15,JR_080218_68,NG PBS,,,,,582.75,,,,,,,
16,JR_080218_69,NG ???,,,,,826.014,,,,,,,
17,JR_080218_70,sblnk,,,,,3415.886,,,,,,,
18,JR_080218_71,50,,,,,3585.795,,,,,,,
19,JR_080218_72,100,,,,,2773.436,,,,,,,
20,JR_080218_77,sblnk,,,,,3250.841,,,,,,,
21,JR_080218_78,20,Standard,19.502,,,3249.427,,,,,,,
22,JR_080218_79,20,Standard,19.502,,,3115.15,,,,,,,
23,JR_080218_80,50,Standard,48.755,,,2772,,,,,,,
24,JR_080218_81,100,Standard,97.51,,,2404.261,,,,,,,
,,,,,,,,,,,,,,
Compound 62:  4:2 diPAP*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,2005.64,,,,,,,
2,JR_080218_07,50,Standard,50,,,2458.625,,,,,,,
3,JR_080218_08,100,Standard,100,,,2113.074,,,,,,,
4,JR_080218_09,250,Standard,250,,,2074.303,,,,,,,
5,JR_080218_10,500,Standard,500,,,1960.873,,,,,,,
6,JR_080218_11,be,Recovery,500,,,2498.133,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,2000.673,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,2415.076,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1220.804,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,837.424,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,857.036,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,51.433,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,81.544,,,,,,,
14,JR_080218_67,NG EDTA,,,,,631.095,,,,,,,
15,JR_080218_68,NG PBS,,,,,582.75,,,,,,,
16,JR_080218_69,NG ???,,,,,826.014,,,,,,,
17,JR_080218_70,sblnk,,,,,3415.886,,,,,,,
18,JR_080218_71,50,,,,,3585.795,,,,,,,
19,JR_080218_72,100,,,,,2773.436,,,,,,,
20,JR_080218_77,sblnk,,,,,3250.841,,,,,,,
21,JR_080218_78,20,Standard,20,,,3249.427,,,,,,,
22,JR_080218_79,20,Standard,20,,,3115.15,,,,,,,
23,JR_080218_80,50,Standard,50,,,2772,,,,,,,
24,JR_080218_81,100,Standard,100,,,2404.261,,,,,,,
,,,,,,,,,,,,,,
"Compound 63:  4,6:2 diPAP*",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,2005.64,,,,,,,
2,JR_080218_07,50,Standard,50,,,2458.625,,,,,,,
3,JR_080218_08,100,Standard,100,,,2113.074,,,,,,,
4,JR_080218_09,250,Standard,250,,,2074.303,,,,,,,
5,JR_080218_10,500,Standard,500,,,1960.873,,,,,,,
6,JR_080218_11,be,Recovery,500,,,2498.133,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,2000.673,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,2415.076,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1220.804,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,837.424,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,857.036,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,51.433,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,81.544,,,,,,,
14,JR_080218_67,NG EDTA,,,,,631.095,,,,,,,
15,JR_080218_68,NG PBS,,,,,582.75,,,,,,,
16,JR_080218_69,NG ???,,,,,826.014,,,,,,,
17,JR_080218_70,sblnk,,,,,3415.886,,,,,,,
18,JR_080218_71,50,,,,,3585.795,,,,,,,
19,JR_080218_72,100,,,,,2773.436,,,,,,,
20,JR_080218_77,sblnk,,,,,3250.841,,,,,,,
21,JR_080218_78,20,Standard,20,,,3249.427,,,,,,,
22,JR_080218_79,20,Standard,20,,,3115.15,,,,,,,
23,JR_080218_80,50,Standard,50,,,2772,,,,,,,
24,JR_080218_81,100,Standard,100,,,2404.261,,,,,,,
,,,,,,,,,,,,,,
Compound 64:  6:2 diPAP,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,19.434,25.04,38.251,2005.64,,0.019,bb,19.7,1.4,101.4,20.599
2,JR_080218_07,50,Standard,48.585,,,2458.625,,,,,,,
3,JR_080218_08,100,Standard,97.17,25.04,266.157,2113.074,,0.126,bb,100.6,3.5,103.5,199.217
4,JR_080218_09,250,Standard,242.925,25,864.096,2074.303,,0.417,bb,320.6,32,132,202.985
5,JR_080218_10,500,Standard,485.85,25.06,1676.6,1960.873,,0.855,bb,652.5,34.3,134.3,11.286
6,JR_080218_11,be,Recovery,485.85,,,2498.133,,,,,,,
7,JR_080218_12,2000,Standard,1943.4,25.06,5832.968,2000.673,,2.916,bb,2212.4,13.8,113.8,2111.068
8,JR_080218_13,10000,Standard,9717,25.05,29425.357,2415.076,,12.184,bb,9229,-5,95,0
9,JR_080218_62,NG pblnk,,,,,1220.804,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,837.424,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,857.036,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,51.433,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,81.544,,,,,,,
14,JR_080218_67,NG EDTA,,,,,631.095,,,,,,,
15,JR_080218_68,NG PBS,,,,,582.75,,,,,,,
16,JR_080218_69,NG ???,,,,,826.014,,,,,,,
17,JR_080218_70,sblnk,,,,,3415.886,,,,,,,
18,JR_080218_71,50,,,24.92,215.995,3585.795,,0.06,bb,50.9,,,16.368
19,JR_080218_72,100,,,24.88,306.215,2773.436,,0.11,bb,88.8,,,56.316
20,JR_080218_77,sblnk,,,,,3250.841,,,,,,,
21,JR_080218_78,20,Standard,19.434,24.94,55.374,3249.427,,0.017,bb,18.2,-6.5,93.5,11.483
22,JR_080218_79,20,Standard,19.434,24.92,12.37,3115.15,,0.004,bb,8.3,-57.5,42.5,5.861
23,JR_080218_80,50,Standard,48.585,24.95,162.383,2772,,0.059,bb,49.6,2.1,102.1,45.806
24,JR_080218_81,100,Standard,97.17,24.92,235.872,2404.261,,0.098,bb,79.5,-18.2,81.8,13.368
,,,,,,,,,,,,,,
"Compound 65:  6,8:2 diPAP*",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,2005.64,,,,,,,
2,JR_080218_07,50,Standard,50,,,2458.625,,,,,,,
3,JR_080218_08,100,Standard,100,,,2113.074,,,,,,,
4,JR_080218_09,250,Standard,250,,,2074.303,,,,,,,
5,JR_080218_10,500,Standard,500,,,1960.873,,,,,,,
6,JR_080218_11,be,Recovery,500,,,2498.133,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,2000.673,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,2415.076,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1220.804,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,837.424,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,857.036,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,51.433,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,81.544,,,,,,,
14,JR_080218_67,NG EDTA,,,,,631.095,,,,,,,
15,JR_080218_68,NG PBS,,,,,582.75,,,,,,,
16,JR_080218_69,NG ???,,,,,826.014,,,,,,,
17,JR_080218_70,sblnk,,,,,3415.886,,,,,,,
18,JR_080218_71,50,,,,,3585.795,,,,,,,
19,JR_080218_72,100,,,,,2773.436,,,,,,,
20,JR_080218_77,sblnk,,,,,3250.841,,,,,,,
21,JR_080218_78,20,Standard,20,,,3249.427,,,,,,,
22,JR_080218_79,20,Standard,20,,,3115.15,,,,,,,
23,JR_080218_80,50,Standard,50,,,2772,,,,,,,
24,JR_080218_81,100,Standard,100,,,2404.261,,,,,,,
,,,,,,,,,,,,,,
Compound 66:  8:2 diPAP,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,19.554,,,2005.64,,,,,,,
2,JR_080218_07,50,Standard,48.885,,,2458.625,,,,,,,
3,JR_080218_08,100,Standard,97.77,,,2113.074,,,,,,,
4,JR_080218_09,250,Standard,244.425,,,2074.303,,,,,,,
5,JR_080218_10,500,Standard,488.85,,,1960.873,,,,,,,
6,JR_080218_11,be,Recovery,488.85,,,2498.133,,,,,,,
7,JR_080218_12,2000,Standard,1955.4,,,2000.673,,,,,,,
8,JR_080218_13,10000,Standard,9777,,,2415.076,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1220.804,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,837.424,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,857.036,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,51.433,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,81.544,,,,,,,
14,JR_080218_67,NG EDTA,,,,,631.095,,,,,,,
15,JR_080218_68,NG PBS,,,,,582.75,,,,,,,
16,JR_080218_69,NG ???,,,,,826.014,,,,,,,
17,JR_080218_70,sblnk,,,,,3415.886,,,,,,,
18,JR_080218_71,50,,,,,3585.795,,,,,,,
19,JR_080218_72,100,,,,,2773.436,,,,,,,
20,JR_080218_77,sblnk,,,,,3250.841,,,,,,,
21,JR_080218_78,20,Standard,19.554,,,3249.427,,,,,,,
22,JR_080218_79,20,Standard,19.554,,,3115.15,,,,,,,
23,JR_080218_80,50,Standard,48.885,,,2772,,,,,,,
24,JR_080218_81,100,Standard,97.77,,,2404.261,,,,,,,
,,,,,,,,,,,,,,
"Compound 67:  8,10:2 diPAP*",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,2005.64,,,,,,,
2,JR_080218_07,50,Standard,50,,,2458.625,,,,,,,
3,JR_080218_08,100,Standard,100,,,2113.074,,,,,,,
4,JR_080218_09,250,Standard,250,,,2074.303,,,,,,,
5,JR_080218_10,500,Standard,500,,,1960.873,,,,,,,
6,JR_080218_11,be,Recovery,500,,,2498.133,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,2000.673,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,2415.076,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1220.804,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,837.424,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,857.036,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,51.433,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,81.544,,,,,,,
14,JR_080218_67,NG EDTA,,,,,631.095,,,,,,,
15,JR_080218_68,NG PBS,,,,,582.75,,,,,,,
16,JR_080218_69,NG ???,,,,,826.014,,,,,,,
17,JR_080218_70,sblnk,,,,,3415.886,,,,,,,
18,JR_080218_71,50,,,,,3585.795,,,,,,,
19,JR_080218_72,100,,,,,2773.436,,,,,,,
20,JR_080218_77,sblnk,,,,,3250.841,,,,,,,
21,JR_080218_78,20,Standard,20,,,3249.427,,,,,,,
22,JR_080218_79,20,Standard,20,,,3115.15,,,,,,,
23,JR_080218_80,50,Standard,50,,,2772,,,,,,,
24,JR_080218_81,100,Standard,100,,,2404.261,,,,,,,
,,,,,,,,,,,,,,
Compound 68:  10:2 diPAP*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,2005.64,,,,,,,
2,JR_080218_07,50,Standard,50,,,2458.625,,,,,,,
3,JR_080218_08,100,Standard,100,,,2113.074,,,,,,,
4,JR_080218_09,250,Standard,250,,,2074.303,,,,,,,
5,JR_080218_10,500,Standard,500,,,1960.873,,,,,,,
6,JR_080218_11,be,Recovery,500,,,2498.133,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,2000.673,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,2415.076,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1220.804,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,837.424,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,857.036,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,51.433,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,81.544,,,,,,,
14,JR_080218_67,NG EDTA,,,,,631.095,,,,,,,
15,JR_080218_68,NG PBS,,,,,582.75,,,,,,,
16,JR_080218_69,NG ???,,,,,826.014,,,,,,,
17,JR_080218_70,sblnk,,,,,3415.886,,,,,,,
18,JR_080218_71,50,,,,,3585.795,,,,,,,
19,JR_080218_72,100,,,,,2773.436,,,,,,,
20,JR_080218_77,sblnk,,,,,3250.841,,,,,,,
21,JR_080218_78,20,Standard,20,,,3249.427,,,,,,,
22,JR_080218_79,20,Standard,20,,,3115.15,,,,,,,
23,JR_080218_80,50,Standard,50,,,2772,,,,,,,
24,JR_080218_81,100,Standard,100,,,2404.261,,,,,,,
,,,,,,,,,,,,,,
Compound 69:  6:2 FTMAP,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,2005.64,,,,,,,
2,JR_080218_07,50,Standard,50,,,2458.625,,,,,,,
3,JR_080218_08,100,Standard,100,,,2113.074,,,,,,,
4,JR_080218_09,250,Standard,250,,,2074.303,,,,,,,
5,JR_080218_10,500,Standard,500,,,1960.873,,,,,,,
6,JR_080218_11,be,Recovery,500,,,2498.133,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,2000.673,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,2415.076,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1220.804,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,837.424,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,857.036,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,51.433,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,81.544,,,,,,,
14,JR_080218_67,NG EDTA,,,,,631.095,,,,,,,
15,JR_080218_68,NG PBS,,,,,582.75,,,,,,,
16,JR_080218_69,NG ???,,,,,826.014,,,,,,,
17,JR_080218_70,sblnk,,,,,3415.886,,,,,,,
18,JR_080218_71,50,,,,,3585.795,,,,,,,
19,JR_080218_72,100,,,,,2773.436,,,,,,,
20,JR_080218_77,sblnk,,,,,3250.841,,,,,,,
21,JR_080218_78,20,Standard,20,,,3249.427,,,,,,,
22,JR_080218_79,20,Standard,20,,,3115.15,,,,,,,
23,JR_080218_80,50,Standard,50,,,2772,,,,,,,
24,JR_080218_81,100,Standard,100,,,2404.261,,,,,,,
,,,,,,,,,,,,,,
"Compound 70:  6,8:2 FTMAP",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,2005.64,,,,,,,
2,JR_080218_07,50,Standard,50,,,2458.625,,,,,,,
3,JR_080218_08,100,Standard,100,,,2113.074,,,,,,,
4,JR_080218_09,250,Standard,250,,,2074.303,,,,,,,
5,JR_080218_10,500,Standard,500,,,1960.873,,,,,,,
6,JR_080218_11,be,Recovery,500,,,2498.133,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,2000.673,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,2415.076,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1220.804,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,837.424,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,857.036,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,51.433,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,81.544,,,,,,,
14,JR_080218_67,NG EDTA,,,,,631.095,,,,,,,
15,JR_080218_68,NG PBS,,,,,582.75,,,,,,,
16,JR_080218_69,NG ???,,,,,826.014,,,,,,,
17,JR_080218_70,sblnk,,,,,3415.886,,,,,,,
18,JR_080218_71,50,,,,,3585.795,,,,,,,
19,JR_080218_72,100,,,,,2773.436,,,,,,,
20,JR_080218_77,sblnk,,,,,3250.841,,,,,,,
21,JR_080218_78,20,Standard,20,,,3249.427,,,,,,,
22,JR_080218_79,20,Standard,20,,,3115.15,,,,,,,
23,JR_080218_80,50,Standard,50,,,2772,,,,,,,
24,JR_080218_81,100,Standard,100,,,2404.261,,,,,,,
,,,,,,,,,,,,,,
Compound 71:  8:2 FTMAP,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,2005.64,,,,,,,
2,JR_080218_07,50,Standard,50,,,2458.625,,,,,,,
3,JR_080218_08,100,Standard,100,,,2113.074,,,,,,,
4,JR_080218_09,250,Standard,250,,,2074.303,,,,,,,
5,JR_080218_10,500,Standard,500,,,1960.873,,,,,,,
6,JR_080218_11,be,Recovery,500,,,2498.133,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,2000.673,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,2415.076,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1220.804,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,837.424,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,857.036,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,51.433,,,,,,,
13,JR_080218_66,NG tris n=4,,,29.55,18.052,81.544,,0.221,bb,,,,4.156
